id,domain,objectives,title,filename,destination,page_path
DEA-M-01,MAP,,Advanced Data Engineer Study Map,dea-m-01-advanced-data-engineer-study-map.png,src/assets/snowflake/data-engineer/master/dea-m-01-advanced-data-engineer-study-map.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-m-01-advanced-data-engineer-study-map/
DEA-DM-01,D1,1.1,Loading Pattern & Impact,dea-dm-01-loading-pattern-impact.png,src/assets/snowflake/data-engineer/d1-data-movement/dea-dm-01-loading-pattern-impact.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dm-01-loading-pattern-impact/
DEA-DM-02,D1,1.2,"Formats, Stages & Schema Detection",dea-dm-02-formats-stages-schema-detection.png,src/assets/snowflake/data-engineer/d1-data-movement/dea-dm-02-formats-stages-schema-detection.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dm-02-formats-stages-schema-detection/
DEA-DM-03,D1,1.3,Ingestion Troubleshooting & Replay,dea-dm-03-ingestion-troubleshooting-replay.png,src/assets/snowflake/data-engineer/d1-data-movement/dea-dm-03-ingestion-troubleshooting-replay.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dm-03-ingestion-troubleshooting-replay/
DEA-DM-04,D1,1.4,Continuous Pipeline Orchestration,dea-dm-04-continuous-pipeline-orchestration.png,src/assets/snowflake/data-engineer/d1-data-movement/dea-dm-04-continuous-pipeline-orchestration.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dm-04-continuous-pipeline-orchestration/
DEA-DM-05,D1,1.4,"Streaming, Kafka & Recovery Boundaries",dea-dm-05-streaming-kafka-recovery-boundaries.png,src/assets/snowflake/data-engineer/d1-data-movement/dea-dm-05-streaming-kafka-recovery-boundaries.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dm-05-streaming-kafka-recovery-boundaries/
DEA-DM-06,D1,1.4,Pipeline APIs & Automation,dea-dm-06-pipeline-apis-automation.png,src/assets/snowflake/data-engineer/d1-data-movement/dea-dm-06-pipeline-apis-automation.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dm-06-pipeline-apis-automation/
DEA-DM-07,D1,1.5,Connector Selection Matrix,dea-dm-07-connector-selection-matrix.png,src/assets/snowflake/data-engineer/d1-data-movement/dea-dm-07-connector-selection-matrix.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dm-07-connector-selection-matrix/
DEA-DM-08,D1,1.6,Sharing & Consumption Design,dea-dm-08-sharing-consumption-design.png,src/assets/snowflake/data-engineer/d1-data-movement/dea-dm-08-sharing-consumption-design.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dm-08-sharing-consumption-design/
DEA-DM-09,D1,1.7,"Table Types, Evolution & Unload",dea-dm-09-table-types-evolution-unload.png,src/assets/snowflake/data-engineer/d1-data-movement/dea-dm-09-table-types-evolution-unload.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dm-09-table-types-evolution-unload/
DEA-PO-01,D2,2.1,Query Profile Diagnosis,dea-po-01-query-profile-diagnosis.png,src/assets/snowflake/data-engineer/d2-performance-optimization/dea-po-01-query-profile-diagnosis.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-po-01-query-profile-diagnosis/
